Region,Month of Period End,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Average Sale To List
,October 2022,$553K,120,81,283,50,99.0%
,November 2022,$577K,88,64,266,54,98.5%
,December 2022,$563K,136,73,213,67,98.4%
,January 2023,$590K,87,82,204,61,98.5%
,February 2023,$505K,87,88,169,60,98.5%
,March 2023,$555K,114,123,171,51,99.1%
,April 2023,$615K,102,117,170,40,99.5%
,May 2023,$576K,123,182,201,35,100.2%
,June 2023,$573K,162,130,199,32,100.6%
,July 2023,$608K,110,111,188,43,99.0%
,August 2023,$580K,127,96,167,34,99.8%
,September 2023,$600K,117,100,155,39,99.4%
,October 2023,$600K,103,98,156,39,99.2%
,November 2023,$600K,120,64,100,45,98.9%
,December 2023,$517K,106,39,64,27,99.1%
,January 2024,$610K,80,77,69,28,99.4%
,February 2024,$573K,74,94,79,18,100.0%
,March 2024,$590K,91,103,64,14,100.4%
,April 2024,$640K,119,120,77,10,101.0%
,May 2024,$635K,95,112,96,7,101.6%
,June 2024,$656K,100,138,114,7,101.0%
,July 2024,$666K,95,99,147,15,100.4%
,August 2024,$615K,77,96,153,21,99.7%
,September 2024,$638K,67,82,140,26,99.1%
,October 2024,$614K,90,95,154,17,99.3%
,November 2024,$665K,77,54,123,39,99.5%
,December 2024,$576K,76,39,85,47,97.9%
,January 2025,$563K,60,85,93,36,98.9%
,February 2025,$610K,55,89,112,21,99.7%
"Apopka, FL",January 2012,$94K,60,83,442,127,96.1%
,February 2012,$128K,53,92,464,122,96.1%
,March 2012,$112K,87,107,459,147,97.8%
,April 2012,$124K,89,85,445,122,96.8%
,May 2012,$128K,74,82,434,128,97.6%
,June 2012,$136K,75,106,459,123,98.0%
,July 2012,$136K,69,88,459,115,98.2%
,August 2012,$120K,107,89,424,148,98.5%
,September 2012,$123K,58,103,467,115,100.0%
,October 2012,$136K,84,77,452,128,96.5%
,November 2012,$146K,86,73,427,112,97.2%
,December 2012,$138K,75,49,387,141,97.9%
,January 2013,$135K,71,89,387,127,99.0%
,February 2013,$146K,76,91,394,130,97.7%
,March 2013,$170K,78,80,381,98,97.8%
,April 2013,$140K,90,117,388,112,98.0%
,May 2013,$161K,104,81,360,92,97.9%
,June 2013,$150K,72,111,383,84,100.1%
,July 2013,$161K,77,105,398,102,99.5%
,August 2013,$165K,91,92,383,102,98.8%
,September 2013,$165K,62,101,401,97,97.9%
,October 2013,$171K,82,80,381,99,99.4%
,November 2013,$161K,71,90,393,87,97.9%
,December 2013,$170K,69,62,369,114,96.5%
,January 2014,$175K,63,87,375,114,97.3%
,February 2014,$170K,71,102,382,119,98.7%
,March 2014,$155K,80,105,376,92,98.6%
,April 2014,$177K,64,132,344,80,99.8%
,May 2014,$176K,86,139,340,56,98.7%
,June 2014,$176K,99,107,292,34,97.5%
,July 2014,$171K,78,112,323,51,97.0%
,August 2014,$173K,97,127,346,41,97.7%
,September 2014,$177K,100,122,355,57,97.5%
,October 2014,$178K,104,105,368,50,95.9%
,November 2014,$170K,68,80,354,55,97.5%
,December 2014,$185K,99,72,307,67,97.2%
,January 2015,$167K,63,100,301,72,97.1%
,February 2015,$185K,75,100,289,98,98.4%
,March 2015,$197K,94,98,280,54,98.8%
,April 2015,$200K,85,126,289,50,97.7%
,May 2015,$183K,91,120,287,56,97.5%
,June 2015,$213K,115,127,311,36,98.3%
,July 2015,$200K,99,115,309,52,98.2%
,August 2015,$180K,91,124,308,42,97.4%
,September 2015,$223K,104,94,305,56,98.7%
,October 2015,$203K,81,94,291,40,98.2%
,November 2015,$185K,74,92,301,49,98.6%
,December 2015,$213K,83,69,280,40,97.8%
,January 2016,$181K,58,120,301,34,96.4%
,February 2016,$198K,74,121,290,57,96.4%
,March 2016,$189K,101,120,269,35,98.5%
,April 2016,$190K,128,111,265,40,97.7%
,May 2016,$225K,100,130,267,57,98.4%
,June 2016,$206K,100,100,250,29,97.8%
,July 2016,$210K,120,128,261,42,98.4%
,August 2016,$206K,110,115,238,35,98.4%
,September 2016,$201K,107,105,244,35,98.1%
,October 2016,$215K,81,82,226,41,97.3%
,November 2016,$190K,73,91,211,35,99.1%
,December 2016,$246K,96,46,187,34,98.2%
,January 2017,$219K,68,90,189,48,97.8%
,February 2017,$209K,71,103,198,47,98.3%
,March 2017,$218K,90,114,203,40,97.6%
,April 2017,$232K,80,117,204,30,98.6%
,May 2017,$225K,107,111,207,30,98.5%
,June 2017,$225K,98,142,225,19,99.3%
,July 2017,$245K,94,130,229,21,97.9%
,August 2017,$226K,119,106,235,23,98.1%
,September 2017,$235K,74,64,222,20,97.6%
,October 2017,$240K,78,106,220,35,98.8%
,November 2017,$225K,79,98,230,48,97.8%
,December 2017,$230K,93,88,217,29,97.6%
,January 2018,$234K,71,97,198,26,97.1%
,February 2018,$241K,84,98,209,42,97.1%
,March 2018,$245K,114,129,196,35,97.7%
,April 2018,$242K,101,117,197,21,97.4%
,May 2018,$245K,114,132,206,16,98.8%
,June 2018,$260K,127,134,214,27,98.4%
,July 2018,$237K,113,109,207,17,98.2%
,August 2018,$250K,120,134,223,28,98.0%
,September 2018,$240K,91,119,248,26,98.6%
,October 2018,$239K,105,109,243,24,97.2%
,November 2018,$250K,75,99,244,31,98.0%
,December 2018,$242K,95,66,233,32,97.4%
,January 2019,$252K,65,114,242,43,97.3%
,February 2019,$242K,78,90,220,54,98.7%
,March 2019,$255K,115,112,214,42,97.5%
,April 2019,$240K,96,130,214,28,98.7%
,May 2019,$260K,113,128,222,28,97.9%
,June 2019,$268K,118,122,211,22,98.1%
,July 2019,$246K,106,122,217,32,97.8%
,August 2019,$263K,113,129,222,20,98.7%
,September 2019,$265K,98,111,228,25,97.7%
,October 2019,$256K,95,113,222,30,98.4%
,November 2019,$258K,81,73,196,29,98.4%
,December 2019,$272K,110,70,171,29,97.9%
,January 2020,$262K,62,106,167,35,97.9%
,February 2020,$262K,74,91,156,42,97.3%
,March 2020,$282K,126,123,177,25,97.8%
,April 2020,$285K,69,100,183,22,98.5%
,May 2020,$260K,79,126,196,24,98.2%
,June 2020,$284K,108,120,172,16,99.1%
,July 2020,$287K,125,122,144,17,99.7%
,August 2020,$285K,119,103,139,21,98.4%
,September 2020,$283K,91,105,131,13,99.2%
,October 2020,$285K,108,128,132,17,98.9%
,November 2020,$300K,108,96,125,17,98.6%
,December 2020,$313K,120,63,96,18,98.5%
,January 2021,$301K,72,77,81,14,99.3%
,February 2021,$330K,91,107,85,12,98.9%
,March 2021,$307K,105,127,79,6,99.2%
,April 2021,$330K,129,117,71,7,100.3%
,May 2021,$338K,116,130,81,6,100.3%
,June 2021,$330K,125,137,87,6,101.0%
,July 2021,$334K,125,147,105,7,101.0%
,August 2021,$350K,135,123,109,8,100.9%
,September 2021,$342K,117,124,108,11,100.4%
,October 2021,$352K,114,101,102,11,100.1%
,November 2021,$357K,104,83,77,16,100.2%
,December 2021,$365K,115,85,71,13,99.6%
,January 2022,$379K,70,91,71,7,100.0%
,February 2022,$406K,76,109,79,14,100.7%
,March 2022,$373K,107,107,76,7,101.0%
,April 2022,$410K,91,102,90,8,100.6%
,May 2022,$380K,94,118,96,8,101.6%
,June 2022,$410K,100,156,168,8,100.8%
,July 2022,$405K,87,129,208,12,98.9%
,August 2022,$410K,103,115,210,14,98.9%
,September 2022,$430K,83,98,216,27,99.4%
,October 2022,$370K,84,87,214,34,97.9%
,November 2022,$380K,65,65,199,37,97.9%
,December 2022,$408K,85,56,177,65,98.6%
,January 2023,$395K,45,84,161,67,97.5%
,February 2023,$423K,68,73,141,67,98.1%
,March 2023,$415K,92,88,143,49,97.9%
,April 2023,$447K,74,76,125,18,99.0%
,May 2023,$410K,88,85,128,33,99.0%
,June 2023,$420K,73,85,133,28,99.2%
,July 2023,$438K,64,82,128,28,98.8%
,August 2023,$405K,72,90,145,20,98.6%
,September 2023,$377K,64,91,171,28,98.5%
,October 2023,$404K,70,83,186,17,98.2%
,November 2023,$450K,55,97,191,19,98.2%
,December 2023,$425K,70,87,202,35,98.0%
,January 2024,$415K,51,118,213,44,98.4%
,February 2024,$443K,93,139,237,37,99.0%
,March 2024,$420K,86,124,242,44,98.6%
,April 2024,$449K,99,148,257,27,98.6%
,May 2024,$440K,103,144,275,26,98.8%
,June 2024,$441K,113,150,300,34,99.0%
,July 2024,$425K,113,133,305,53,98.9%
,August 2024,$420K,119,178,346,42,98.3%
,September 2024,$414K,116,143,380,35,99.0%
,October 2024,$418K,85,132,379,51,97.9%
,November 2024,$409K,107,93,365,51,98.3%
,December 2024,$400K,104,79,335,67,98.9%
,January 2025,$391K,79,156,366,77,98.3%
,February 2025,$404K,120,135,337,64,98.1%
"Athens, AL",January 2012,$135K,10,23,107,154,97.4%
,February 2012,$138K,22,19,104,139,94.0%
,March 2012,$106K,20,24,104,120,94.3%
,April 2012,$150K,24,25,106,173,97.2%
,May 2012,$146K,28,19,96,122,94.5%
,June 2012,$176K,24,23,97,97,95.2%
,July 2012,$143K,23,31,108,113,95.3%
,August 2012,$174K,26,22,107,130,94.2%
,September 2012,$163K,19,33,122,99,96.8%
,October 2012,$135K,33,28,119,121,96.1%
,November 2012,$150K,20,13,113,130,93.0%
,December 2012,$199K,14,18,116,96,98.9%
,January 2013,$157K,11,29,131,138,95.1%
,February 2013,$140K,19,16,127,132,94.6%
,March 2013,$130K,23,29,130,100,93.6%
,April 2013,$128K,26,24,129,175,97.2%
,May 2013,$149K,28,26,130,129,95.7%
,June 2013,$158K,25,29,132,109,93.2%
,July 2013,$130K,23,26,133,100,95.5%
,August 2013,$132K,33,41,142,144,96.0%
,September 2013,$151K,23,16,131,126,96.8%
,October 2013,$140K,23,21,130,128,96.2%
,November 2013,$151K,23,14,121,110,96.9%
,December 2013,$148K,14,15,119,134,96.4%
,January 2014,$93K,18,17,115,127,94.1%
,February 2014,$112K,16,24,122,109,97.5%
,March 2014,$160K,25,26,125,196,96.1%
,April 2014,$115K,39,28,113,81,95.1%
,May 2014,$170K,35,24,105,154,95.9%
,June 2014,$135K,19,24,109,76,95.7%
,July 2014,$135K,26,28,111,90,95.4%
,August 2014,$192K,26,14,100,128,97.7%
,September 2014,$137K,25,19,94,94,94.4%
,October 2014,$170K,26,15,85,138,96.9%
,November 2014,$125K,22,20,86,108,93.8%
,December 2014,$155K,15,24,95,126,96.3%
,January 2015,$62K,18,26,105,79,92.6%
,February 2015,$134K,21,18,102,104,93.4%
,March 2015,$100K,25,33,110,99,97.8%
,April 2015,$141K,30,25,107,92,96.8%
,May 2015,$107K,24,22,104,86,92.7%
,June 2015,$135K,31,31,106,92,98.2%
,July 2015,$151K,28,27,106,108,96.5%
,August 2015,$165K,36,34,110,120,96.2%
,September 2015,$109K,30,22,105,89,95.3%
,October 2015,$167K,21,27,113,92,98.8%
,November 2015,$142K,18,23,117,148,97.9%
,December 2015,$98K,24,11,104,89,95.6%
,January 2016,$141K,18,20,110,148,96.4%
,February 2016,$191K,14,25,121,98,99.3%
,March 2016,$165K,25,46,140,134,96.8%
,April 2016,$111K,36,34,137,127,95.0%
,May 2016,$164K,42,38,133,102,97.0%
,June 2016,$144K,29,37,141,115,96.5%
,July 2016,$212K,23,33,150,112,97.2%
,August 2016,$148K,36,36,153,121,96.4%
,September 2016,$168K,42,30,143,100,96.7%
,October 2016,$200K,22,24,144,119,94.8%
,November 2016,$148K,34,22,131,123,96.2%
,December 2016,$160K,26,9,112,92,92.5%
,January 2017,$112K,15,31,128,140,90.5%
,February 2017,$142K,26,30,133,189,95.3%
,March 2017,$141K,35,40,140,157,97.1%
,April 2017,$134K,29,25,134,89,97.8%
,May 2017,$163K,29,32,133,97,98.0%
,June 2017,$167K,35,37,133,100,97.1%
,July 2017,$177K,35,44,142,73,95.1%
,August 2017,$155K,36,55,162,80,97.5%
,September 2017,$159K,49,35,151,78,96.0%
,October 2017,$135K,29,34,156,107,94.8%
,November 2017,$140K,39,20,134,83,98.3%
,December 2017,$226K,29,25,131,128,98.4%
,January 2018,$160K,25,18,123,119,98.2%
,February 2018,$120K,29,29,122,125,96.0%
,March 2018,$210K,33,42,132,171,98.1%
,April 2018,$198K,33,38,134,75,99.1%
,May 2018,$170K,52,53,142,71,97.6%
,June 2018,$197K,35,43,151,113,97.4%
,July 2018,$229K,40,41,151,68,97.8%
,August 2018,$179K,42,50,157,75,98.9%
,September 2018,$190K,31,39,168,73,97.6%
,October 2018,$215K,42,27,153,94,98.5%
,November 2018,$195K,38,28,143,151,97.4%
,December 2018,$174K,30,28,141,81,97.0%
,January 2019,$206K,30,51,164,101,93.6%
,February 2019,$187K,32,45,174,88,97.0%
,March 2019,$225K,33,40,155,85,98.2%
,April 2019,$177K,36,63,166,95,97.7%
,May 2019,$173K,42,64,179,57,98.2%
,June 2019,$227K,49,55,173,51,97.8%
,July 2019,$240K,49,49,153,63,99.2%
,August 2019,$220K,56,47,140,50,97.3%
,September 2019,$247K,45,49,150,47,97.9%
,October 2019,$259K,34,69,171,46,97.6%
,November 2019,$229K,44,57,183,52,98.7%
,December 2019,$237K,37,25,164,66,98.8%
,January 2020,$238K,32,41,155,76,99.8%
,February 2020,$193K,36,41,153,83,97.9%
,March 2020,$230K,50,60,151,67,98.4%
,April 2020,$220K,38,60,159,98,98.9%
,May 2020,$257K,52,71,164,66,99.7%
,June 2020,$250K,71,76,153,84,99.3%
,July 2020,$231K,74,66,149,37,99.9%
,August 2020,$250K,72,84,160,47,99.4%
,September 2020,$235K,69,64,150,49,99.5%
,October 2020,$238K,66,77,159,39,99.7%
,November 2020,$270K,39,48,159,40,98.5%
,December 2020,$251K,72,53,156,60,100.2%
,January 2021,$253K,54,49,130,55,99.3%
,February 2021,$261K,58,50,114,89,100.1%
,March 2021,$268K,67,60,114,49,100.6%
,April 2021,$263K,64,76,118,43,100.4%
,May 2021,$256K,63,54,100,44,100.3%
,June 2021,$263K,57,67,113,28,101.4%
,July 2021,$279K,64,61,113,36,101.8%
,August 2021,$269K,68,72,115,35,101.3%
,September 2021,$308K,72,61,115,39,101.0%
,October 2021,$303K,50,69,124,30,99.2%
,November 2021,$305K,61,65,125,26,100.2%
,December 2021,$330K,58,44,126,28,99.6%
,January 2022,$335K,43,51,110,36,99.5%
,February 2022,$334K,51,79,104,50,101.2%
,March 2022,$337K,67,91,109,64,100.8%
,April 2022,$355K,50,65,120,22,100.1%
,May 2022,$315K,68,81,132,35,101.2%
,June 2022,$324K,76,71,132,26,100.7%
,July 2022,$327K,59,65,142,20,99.7%
,August 2022,$339K,54,66,155,37,100.2%
,September 2022,$334K,74,65,167,43,98.2%
,October 2022,$350K,47,54,184,45,98.8%
,November 2022,$332K,31,39,183,55,96.5%
,December 2022,$331K,47,31,154,57,98.3%
,January 2023,$312K,46,55,162,81,97.6%
,February 2023,$341K,34,46,166,57,98.2%
,March 2023,$320K,49,54,167,94,98.5%
,April 2023,$317K,51,95,197,66,98.8%
,May 2023,$325K,54,47,187,44,99.7%
,June 2023,$368K,56,64,190,45,100.2%
,July 2023,$363K,50,42,195,54,99.5%
,August 2023,$323K,36,61,191,76,99.2%
,September 2023,$330K,42,65,199,67,98.8%
,October 2023,$376K,43,61,208,83,98.5%
,November 2023,$308K,45,47,209,50,98.9%
,December 2023,$326K,32,60,236,66,99.2%
,January 2024,$325K,26,59,234,59,98.7%
,February 2024,$321K,43,61,234,85,98.4%
,March 2024,$329K,54,73,242,77,99.6%
,April 2024,$340K,59,78,234,129,98.9%
,May 2024,$320K,55,76,249,67,98.6%
,June 2024,$325K,55,60,247,107,99.1%
,July 2024,$335K,54,66,262,91,99.0%
,August 2024,$330K,59,75,269,78,99.0%
,September 2024,$310K,46,63,253,74,98.2%
,October 2024,$322K,59,76,259,70,98.2%
,November 2024,$300K,49,59,269,86,97.9%
,December 2024,$333K,55,49,248,54,98.3%
,January 2025,$285K,47,46,250,103,98.5%
,February 2025,$324K,44,69,234,95,98.3%
"Auburn, AL",February 2012,$118K,1,40,304,85,100.2%
,March 2012,$73K,2,44,294,420,94.4%
,April 2012,$150K,1,38,306,50,98.4%
,June 2012,$230K,1,28,301,38,100.0%
,October 2012,$388K,1,19,312,11,95.9%
,November 2012,$85K,1,8,309,686,67.7%
,June 2013,$19K,1,18,266,151,75.0%
,August 2013,$120K,1,16,262,169,96.0%
,October 2013,$170K,2,14,249,118,98.1%
,December 2013,$74K,1,11,247,98,91.7%
,January 2014,$127K,1,19,231,322,75.7%
,April 2014,$248K,1,36,223,262,97.3%
,May 2014,$135K,3,17,212,402,94.9%
,July 2014,$85K,3,12,200,94,91.8%
,August 2014,$277K,2,12,194,259,95.8%
,November 2014,$223K,1,11,212,62,98.0%
,January 2015,$140K,1,11,207,62,101.8%
,February 2015,$139K,1,2,180,136,95.9%
,March 2015,$243K,2,2,164,60,94.7%
,April 2015,$162K,2,2,130,440,98.6%
,May 2015,$118K,3,5,115,109,95.3%
,June 2015,$100K,1,4,102,42,95.2%
,July 2015,$138K,3,,89,"1,972",81.9%
,August 2015,$235K,18,6,83,"1,248",94.0%
,September 2015,$100K,7,12,75,874,81.0%
,October 2015,$148K,14,10,63,822,94.5%
,November 2015,$214K,9,10,64,"1,382",97.0%
,December 2015,$235K,13,16,68,"1,327",94.2%
,January 2016,$240K,9,14,74,"1,812",96.4%
,February 2016,$157K,17,26,98,"1,481",96.8%
,March 2016,$153K,22,32,125,"1,178",97.6%
,April 2016,$180K,24,31,152,"1,682",92.6%
,May 2016,$211K,28,38,183,"1,618",96.9%
,June 2016,$177K,32,72,250,"1,739",98.6%
,July 2016,$200K,31,69,312,"1,468",95.1%
,August 2016,$240K,25,70,368,"1,181",97.5%
,September 2016,$247K,70,73,372,132,97.7%
,October 2016,$262K,74,110,405,122,100.1%
,November 2016,$255K,96,73,377,117,98.9%
,December 2016,$215K,78,73,369,86,97.2%
,January 2017,$230K,84,131,419,157,96.8%
,February 2017,$193K,89,164,496,123,97.6%
,March 2017,$245K,162,175,517,96,99.1%
,April 2017,$207K,134,143,542,79,98.7%
,May 2017,$213K,168,148,548,85,98.6%
,June 2017,$264K,168,109,488,99,99.0%
,July 2017,$242K,150,105,454,106,98.3%
,August 2017,$246K,125,108,425,120,98.0%
,September 2017,$265K,86,92,432,111,99.1%
,October 2017,$268K,86,70,420,117,98.5%
,November 2017,$252K,89,98,436,132,97.6%
,December 2017,$225K,93,81,429,121,98.5%
,January 2018,$230K,91,132,457,87,99.5%
,February 2018,$219K,114,152,506,103,98.7%
,March 2018,$220K,147,186,556,102,99.0%
,April 2018,$249K,147,181,587,81,98.9%
,May 2018,$260K,206,164,556,76,98.9%
,June 2018,$267K,188,125,508,94,98.9%
,July 2018,$263K,144,113,473,89,99.0%
,August 2018,$259K,151,119,441,95,98.1%
,September 2018,$251K,86,89,439,86,98.7%
,October 2018,$240K,86,97,451,103,98.6%
,November 2018,$270K,86,86,444,97,98.0%
,December 2018,$275K,91,60,416,115,98.1%
,January 2019,$244K,80,136,461,128,98.6%
,February 2019,$247K,86,158,525,78,98.5%
,March 2019,$254K,145,147,536,109,98.3%
,April 2019,$269K,111,176,604,85,98.7%
,May 2019,$256K,180,171,605,105,98.9%
,June 2019,$282K,150,119,572,88,98.5%
,July 2019,$274K,171,121,535,106,98.4%
,August 2019,$258K,118,66,492,99,99.0%
,September 2019,$260K,105,119,513,134,97.7%
,October 2019,$276K,102,97,520,117,98.5%
,November 2019,$280K,90,110,534,165,98.0%
,December 2019,$266K,102,65,505,97,98.5%
,January 2020,$277K,80,149,569,107,97.8%
,February 2020,$277K,114,175,631,112,98.6%
,March 2020,$260K,124,171,661,74,98.4%
,April 2020,$289K,116,111,636,73,98.5%
,May 2020,$280K,122,140,650,105,98.7%
,June 2020,$280K,190,157,619,95,98.5%
,July 2020,$267K,191,162,611,123,98.9%
,August 2020,$285K,176,137,592,104,98.4%
,September 2020,$280K,128,118,581,108,99.0%
,October 2020,$285K,132,112,573,128,99.1%
,November 2020,$305K,123,96,554,112,99.9%
,December 2020,$280K,128,83,519,114,99.1%
,January 2021,$293K,111,155,552,115,99.4%
,February 2021,$299K,120,168,588,139,99.0%
,March 2021,$289K,198,157,547,78,99.6%
,April 2021,$288K,178,163,557,70,99.2%
,May 2021,$295K,195,159,537,66,99.7%
,June 2021,$302K,207,157,529,59,100.0%
,July 2021,$308K,205,152,474,65,99.9%
,August 2021,$324K,156,156,454,61,100.0%
,September 2021,$323K,150,100,421,67,99.2%
,October 2021,$325K,120,106,420,58,99.3%
,November 2021,$324K,125,88,391,69,99.4%
,December 2021,$330K,127,92,373,79,101.7%
,January 2022,$302K,88,125,384,58,100.7%
,February 2022,$330K,115,103,385,60,100.6%
,March 2022,$332K,166,153,348,56,101.0%
,April 2022,$366K,139,129,337,80,100.9%
,May 2022,$382K,154,151,301,56,102.3%
,June 2022,$371K,176,175,282,45,101.5%
,July 2022,$378K,149,126,270,13,100.3%
,August 2022,$331K,154,111,268,26,99.5%
,September 2022,$361K,89,99,254,31,98.8%
,October 2022,$366K,98,86,236,42,98.9%
,November 2022,$367K,90,72,227,39,99.9%
,December 2022,$364K,93,57,220,36,98.7%
,January 2023,$379K,66,106,212,49,99.3%
,February 2023,$375K,85,121,221,76,98.7%
,March 2023,$369K,103,125,226,42,99.3%
,April 2023,$366K,80,122,229,25,99.6%
,May 2023,$359K,143,156,253,15,100.1%
,June 2023,$370K,136,115,244,21,99.3%
,July 2023,$384K,96,150,277,26,99.7%
,August 2023,$382K,112,99,261,27,98.3%
,September 2023,$393K,76,87,264,42,101.5%
,October 2023,$406K,87,99,257,50,98.3%
,November 2023,$411K,62,66,238,35,98.4%
,December 2023,$408K,90,60,228,33,99.3%
,January 2024,$410K,53,108,245,44,99.6%
,February 2024,$399K,61,124,252,28,99.8%
,March 2024,$380K,100,130,250,39,100.1%
,April 2024,$405K,117,170,259,29,98.6%
,May 2024,$382K,118,163,288,26,98.7%
,June 2024,$402K,128,149,321,16,99.2%
,July 2024,$420K,119,122,321,25,99.1%
,August 2024,$410K,103,97,293,37,98.8%
,September 2024,$401K,90,105,301,48,99.0%
,October 2024,$395K,99,110,310,63,98.2%
,November 2024,$415K,76,85,274,46,98.6%
,December 2024,$404K,87,61,229,39,98.6%
,January 2025,$399K,85,119,233,55,97.9%
,February 2025,$425K,79,117,223,53,98.3%
"Avon, IN",January 2012,$180K,18,26,149,216,97.1%
,February 2012,$179K,16,31,158,164,94.6%
,March 2012,$161K,26,43,166,200,95.2%
,April 2012,$165K,28,38,171,147,95.6%
,May 2012,$159K,32,41,173,107,97.0%
,June 2012,$147K,26,43,180,116,95.8%
,July 2012,$172K,28,40,184,121,96.8%
,August 2012,$133K,29,42,187,78,96.8%
,September 2012,$169K,24,21,179,112,96.1%
,October 2012,$165K,35,35,165,101,97.9%
,November 2012,$143K,35,23,155,161,95.5%
,December 2012,$150K,27,19,139,146,95.5%
,January 2013,$151K,28,35,143,111,97.5%
,February 2013,$155K,21,34,153,154,96.3%
,March 2013,$173K,32,53,172,128,96.9%
,April 2013,$169K,30,39,174,101,97.1%
,May 2013,$153K,53,58,177,106,97.1%
,June 2013,$167K,49,49,173,80,98.4%
,July 2013,$169K,45,44,177,78,97.5%
,August 2013,$168K,42,55,188,81,96.9%
,September 2013,$185K,32,31,177,95,97.5%
,October 2013,$180K,35,36,171,93,97.0%
,November 2013,$173K,30,29,166,106,97.9%
,December 2013,$193K,28,20,146,133,97.6%
,January 2014,$154K,25,23,139,120,96.6%
,February 2014,$145K,21,28,137,121,96.0%
,March 2014,$169K,41,53,153,118,96.9%
,April 2014,$170K,39,57,170,110,97.7%
,May 2014,$169K,47,54,173,74,97.8%
,June 2014,$168K,47,46,169,64,97.7%
,July 2014,$159K,48,44,160,64,96.8%
,August 2014,$180K,41,45,163,66,98.1%
,September 2014,$175K,52,46,151,91,97.3%
,October 2014,$160K,41,39,148,68,97.7%
,November 2014,$180K,23,23,134,93,97.6%
,December 2014,$166K,34,20,118,80,97.7%
,January 2015,$190K,21,41,126,97,96.0%
,February 2015,$175K,20,30,125,106,96.1%
,March 2015,$182K,34,44,130,83,96.8%
,April 2015,$174K,42,42,115,60,97.3%
,May 2015,$200K,46,63,134,46,98.0%
,June 2015,$184K,51,58,135,49,97.9%
,July 2015,$197K,58,51,131,37,98.0%
,August 2015,$178K,51,46,119,50,98.2%
,September 2015,$210K,52,33,99,73,97.9%
,October 2015,$173K,45,38,104,45,97.1%
,November 2015,$176K,36,27,88,72,96.5%
,December 2015,$184K,31,18,75,60,97.9%
,January 2016,$177K,18,31,79,72,98.2%
,February 2016,$156K,18,27,75,51,97.6%
,March 2016,$207K,37,66,106,71,98.3%
,April 2016,$175K,33,52,104,46,98.1%
,May 2016,$201K,56,59,123,57,98.2%
,June 2016,$197K,59,49,114,42,97.7%
,July 2016,$200K,42,57,123,53,98.2%
